name,number
Bookshop,10270-1
Deluxe Brick Box,10914-1
Brick Box,10913-1
Brick Box,10913-1
Deluxe Brick Box,10914-1
Heart Box,10909-1
Heart Box,10909-1
Bulldozer,10930-1
Bulldozer,10930-1
Anna and Elsa's Storybook Adventures,43175-1
Rapunzel's Tower,43187-1
Large Angular Motor,45602-1
App-Controlled Top Gear Rally Car,42109-1
 Beach Buggy,30369-1
Large Hub,45601-1
Easter Bunny,30550-1
Truck & Tracked Excavator,10931-1
Poppy's Carriage,30555-1
Build Your Own Vehicles - Make it Yours,30549-1
 Fire Rescue Water Scooter,30368-1
Mini Frame,30556-1
Botanical Accessories,40376-1
People,45030-1
{Diver},30370-1
Beach House,41428-1
Sports Accessories,40375-1
Sports Accessories,40375-1
Police MF Accessory Set,40372-1
Golden Zane Accessory Set ,40374-1
Fairground Accessory Set,40373-1
Fairground Accessory Set,40373-1
Golden Zane Accessory Set ,40374-1
Beach House,41428-1
Rainbow Bracelet,41900-1
Animal Picture Holders,41904-1
Botanical Accessories,40376-1
Jewellery Box,41915-1
Race Truck,42104-1
Olivia's Play Cube - Researcher,41402-1
Dragster,42103-1
Drag Racer,40408-1
Police MF Accessory Set,40372-1
Hogwarts Students Accessory Set,40419-1
Hogwarts Students Accessory Set,40419-1
Mia's Play Cube - Veterinarian,41403-1
Mia's Play Cube - Veterinarian,41403-1
Falcon & Black Widow Team-Up,40418-1
Race Truck,42104-1
Monty Mole & Super Mushroom,40414-1
Monty Mole & Super Mushroom,40414-1
Hot Rod,40409-1
Go Team! Bracelet,41911-1
Olivia's Play Cube - Researcher,41402-1
Creative Fun 12-in-1,40411-1
Starter Kit Bundle with Gift,5006216-1
Bird in a tree,40400-1
Flowers and watering can,40399-1
Falcon & Black Widow Team-Up,40418-1
Koi Fish,40397-1
Drag Racer,40408-1
Death Star II Battle,40407-1
LEGOLAND Fire Academy,40393-1
Valentine Panda,40396-1
Mobile Crane,42108-1
Death Star II Battle,40407-1
The Joker,40428-1
LEGO Trophy,40385-1
LEGO Trophy,40385-1
Chinese Dragon,40395-1
Hot Rod,40409-1
Wedding Groom,40384-1
First Order Stormtrooper,40391-1
Wedding Bride,40383-1
Ducati Panigale V4 R,42107-1
Wedding Bride,40383-1
Stunt Show Truck & Bike,42106-1
Mobile Crane,42108-1
Stunt Show Truck & Bike,42106-1
Catamaran,42105-1
Easter Sheep,40380-1
Birthday Set,40382-1
Wedding Groom,40384-1
Batman,40386-1
Easter Sheep,40380-1
Goofy & Pluto,40378-1
Valentine's Bear,40379-1
Dragster,42103-1
Mini CLAAS XERION,42102-1
Donald Duck,40377-1
Mini CLAAS XERION,42102-1
Valentine's Bear,40379-1
Catamaran,42105-1
Buggy,42101-1
Buggy,42101-1
Power Bracelet,41919-1
Goofy & Pluto,40378-1
Magic Forest Bracelet,41917-1
Power Bracelet,41919-1
Donald Duck,40377-1
Magic Forest Bracelet,41917-1
Extra Dots - Series 2,41916-1
Creative Picture Frames,41914-1
Bracelet Mega Pack,41913-1
Bracelet Mega Pack,41913-1
Love Birds Bracelet,41912-1
Creative Picture Frames,41914-1
Go Team! Bracelet,41911-1
Birthday Set,40382-1
Extra Dots - Series 2,41916-1
Extra Dots - Series 1,41908-1
Desk Organiser,41907-1
Pineapple Pencil Holder,41906-1
Pineapple Pencil Holder,41906-1
Desk Organiser,41907-1
Rainbow Jewellery Stand,41905-1
Animal Picture Holders,41904-1
Rainbow Jewellery Stand,41905-1
Cosmic Wonder Bracelet,41903-1
Sparkly Unicorn Bracelet,41902-1
Ducati Panigale V4 R,42107-1
Sparkly Unicorn Bracelet,41902-1
Jewellery Box,41915-1
Cosmic Wonder Bracelet,41903-1
Extra Dots - Series 1,41908-1
Funky Animals Bracelet,41901-1
Stephanie's Play Cube - Baker,41401-1
Stephanie's Play Cube - Baker,41401-1
Andrea's Play Cube - Singer,41400-1
Stephanie's House,41398-1
Rainbow Bracelet,41900-1
LEGO® Trains 40th Anniversary Set,40370-1
Andrea's Play Cube - Singer,41400-1
LEGO® Trains 40th Anniversary Set,40370-1
Easter Egg,40371-1
Star Wars Sith,31200-1
Stephanie's House,41398-1
The Beatles,31198-1
Marvel's Iron Man,31199-1
Andy Warhol's Marylin Monroe,31197-1
Love Birds Bracelet,41912-1
Pirate Ship,31109-1
Year of the Rat,40355-1
Puppy Playground,41396-1
Friendship Bus,41395-1
Easter Bunny,40398-1
Juice Truck,41397-1
Heartlake City Hospital,41394-1
Juice Truck,41397-1
Year of the Rat,40355-1
Nature Glamping,41392-1
Baking Competition,41393-1
Friendship Bus,41395-1
Baking Competition,41393-1
Nature Glamping,41392-1
Caravan Family Holiday,31108-1
Funky Animals Bracelet,41901-1
Pirate Ship,31109-1
Caravan Family Holiday,31108-1
Townhouse Toy Store,31105-1
Space Rover Explorer,31107-1
Heartlake City Hospital,41394-1
Monster Burger Truck,31104-1
Heartlake City Hair Salon,41391-1
Fire Dragon,31102-1
Rocket Truck,31103-1
Rocket Truck,31103-1
Space Rover Explorer,31107-1
Heartlake City Hair Salon,41391-1
Emma's Jungle Play Cube,41438-1
Andrea's Car & Stage,41390-1
Ice Cream Cart,41389-1
Ice Cream Cart,41389-1
Andrea's Car & Stage,41390-1
Fire Dragon,31102-1
Pop Village Celebration,41255-1
Pop Village Celebration,41255-1
Puppy Playground,41396-1
Monster Truck,31101-1
Monster Truck,31101-1
Sports Car,31100-1
Propeller Plane,31099-1
Sports Car,31100-1
Rainbow Caterbus,41256-1
Propeller Plane,31099-1
Olivia's Jungle Play Cube,41436-1
Stephanie's Jungle Play Cube,41435-1
Monster Burger Truck,31104-1
Train,30575-1
Mia's Jungle Play Cube,41437-1
Rainbow Caterbus,41256-1
Volcano Rock City Concert,41254-1
Alpaca Mountain Jungle Rescue,41432-1
 Heartlake City Brick Box,41431-1
 Heartlake City Brick Box,41431-1
Alpaca Mountain Jungle Rescue,41432-1
Cat,30574-1
Andrea's Jungle Play Cube,41434-1
Summer Fun Water Park,41430-1
Volcano Rock City Concert,41254-1
Lonesome Flats Raft Adventure,41253-1
Lonesome Flats Raft Adventure,41253-1
Poppy's Air Balloon Adventure,41252-1
Party Boat,41433-1
Poppy's Pod,41251-1
Poppy's Pod,41251-1
Techno Reef Dance Party,41250-1
Poppy's Air Balloon Adventure,41252-1
Townhouse Toy Store,31105-1
Lucky Cat,40436-1
Lucky Cat,40436-1
Heartlake City Airplane,41429-1
The Wooden Duck,40501-1
Ninjago World,40429-1
Heartlake City Park Café,41426-1
Party Boat,41433-1
Heartlake City Park Café,41426-1
BB-8,40431-1
Olivia's Flower Garden,41425-1
Emma's Fashion Shop,41427-1
Emma's Fashion Shop,41427-1
Olivia's Flower Garden,41425-1
Techno Reef Dance Party,41250-1
Jungle Rescue Base,41424-1
Jungle Rescue Base,41424-1
Baby Elephant Jungle Rescue,41421-1
Baby Elephant Jungle Rescue,41421-1
Tiger Hot Air Balloon Jungle Rescue,41423-1
Panda Jungle Tree House,41422-1
Advent Calendar,41420-1
Ninjago World,40429-1
Cinderella Mini Castle,30554-1
Mia's Play Cube - Cinema,41408-1
Heartlake City Airplane,41429-1
Olivia's Play Cube - Sweet Shop,41407-1
Panda Jungle Tree House,41422-1
Summer Fun Water Park,41430-1
Stephanie's Play Cube - Beauty Salon,41406-1
Tiger Hot Air Balloon Jungle Rescue,41423-1
Mia's Play Cube - Cinema,41408-1
Emma's Play Cube - Photographer,41404-1
Olivia's Play Cube - Sweet Shop,41407-1
Emma's Play Cube - Toy Store,41409-1
Andrea's Play Cube - Pet Shop,41405-1
Combo Charger,30536-1
 Build Your Own Birds - Make it Yours,30548-1
Chef Enzo's Haunted Hotdogs,30463-1
 El Fuego's Stunt Cannon,30464-1
Merchant Avatar Jay,30537-1
Harry Potter and Hedwig,30420-1
Park Picnic,30412-1
Poe Dameron's X-wing Fighter,30386-1
Andrea's Play Cube - Pet Shop,41405-1
The Skeleton Defense,30394-1
Emma's Play Cube - Photographer,41404-1
Super Mushroom Surprise,30385-1
Police Helicopter,30367-1
 Build Your Own Birds - Make it Yours,30548-1
Monkie Kid's Delivery Bike,30341-1
Lamborghini Huracán Super Trofeo EVO,30342-1
Animals,45029-1
Chocolate Box & Flower,30411-1
Captain Marvel and Nick Fury,30453-1
Letters,45027-1
My XL World,45028-1
Police Car,30366-1
Aurora's Forest Cottage,43188-1
Birthday Cake,30330-1
Moana's Island Home,43183-1
My XL World,45028-1
Moana's Island Home,43183-1
Tubes,45026-1
Tubes,45026-1
Mulan's Training Grounds,43182-1
Belle's Castle Winter Celebration,43180-1
My First Giraffe,30329-1
Mulan's Training Grounds,43182-1
Belle's Storybook Adventures,43177-1
Belle's Storybook Adventures,43177-1
Ariel's Storybook Adventures,43176-1
Ariel's Storybook Adventures,43176-1
Belle's Castle Winter Celebration,43180-1
Cinderella's Castle Celebration,43178-1
Cinderella's Castle Celebration,43178-1
Anna and Elsa's Storybook Adventures,43175-1
Mulan's Storybook Adventures,43174-1
Moana's Ocean Adventure,43170-1
Mulan's Storybook Adventures,43174-1
Moana's Ocean Adventure,43170-1
Emma's Play Cube - Toy Store,41409-1
Lamborghini Sián FKP 37,42115-1
Bell-Boeing V-22 Osprey,42113-1
Stephanie's Play Cube - Beauty Salon,41406-1
4 Stud Aqua Light Blue Storage Brick Drawer,5005714-1
Lamborghini Sián FKP 37,42115-1
6x6 Volvo Articulated Hauler,42114-1
R2-D2 and MSE-6,912057-1
4 stud Bright Yellow Storage Brick Drawer,5005401-1
Aurora's Royal Carriage,43173-1
Girl Luggage Tag,5005617-1
4 Stud Medium Stone Gray Storage Brick Drawer,5005713-1
Pink Light Blue and White Wall Hanger Set,5005894-1
Aurora's Royal Carriage,43173-1
4 Stud Light Purple Storage Brick Drawer,5005712-1
4 Stud Medium Stone Gray Storage Brick Drawer,5005713-1
4 Stud Light Purple Storage Brick Drawer,5005712-1
4 Stud Black Storage Brick Drawer,5005711-1
London Magnet Build,854012-1
Water Tape,854065-1
Water Tape,854065-1
4 Stud Black Storage Brick Drawer,5005711-1
New York Key Chain,854032-1
Cake,562001-1
Lloyd,892060-1
Eiffel Tower Magnet,854011-1
TIE Striker,912056-1
Snowspeeder,912055-1
Venom Key Chain,854006-1
LEGO 8 Stud Mini Box,5001286-1
Eiffel Tower Magnet,854011-1
Venom Key Chain,854006-1
The Mandalorian & The Child,75317-1
Duke DeTain Key Chain,854005-1
Wu's Battle Dragon,71718-1
Kylo Ren's Shuttle Microfighter,75264-1
Duke DeTain Key Chain,854005-1
2x4 Lavender Luggage Tag,5005620-1
Indominus rex vs. Ankylosaurus,75941-1
4 stud Bright Yellow Storage Brick Drawer,5005401-1
Kylo Ren's Shuttle Microfighter,75264-1
Attack on The Burrow,75980-1
AT-AT,75288-1
The Razor Crest,75292-1
AT-AT,75288-1
D-O,75278-1
Obi-Wan's Hut,75270-1
Boba Fett,75277-1
Star Wars Advent Calendar,75279-1
{?},71368-1
Stormtrooper,75276-1
The Razor Crest,75292-1
Boba Fett,75277-1
A-wing Starfighter,75275-1
Journey to the Skull Dungeons,71717-1
Stormtrooper,75276-1
A-wing Starfighter,75275-1
D-O,75278-1
Lloyd Avatar - Arcade Pod,71716-1
Journey to the Skull Dungeons,71717-1
501st Legion Clone Troopers,75280-1
Jungle Raider,71700-1
Jay Avatar - Arcade Pod,71715-1
Empire Dragon,71713-1
Jay Avatar - Arcade Pod,71715-1
Kai Avatar - Arcade Pod,71714-1
Empire Dragon,71713-1
Empire Temple of Madness,71712-1
Ninja Tuner Car,71710-1
Ninja Tuner Car,71710-1
Jay and Lloyd's Velocity Racers,71709-1
Empire Temple of Madness,71712-1
Gamer's Market,71708-1
Jay's Cyber Dragon,71711-1
Kai Avatar - Arcade Pod,71714-1
Jay's Cyber Dragon,71711-1
Kai's Mech Jet,71707-1
Kai's Mech Jet,71707-1
Destiny's Bounty,71705-1
Lloyd Avatar - Arcade Pod,71716-1
Kai Fighter,71704-1
Jay and Lloyd's Velocity Racers,71709-1
Kai Fighter,71704-1
Gamer's Market,71708-1
Destiny's Bounty,71705-1
Temple of Light,70505-1
Golden Mech,71702-1
Kai's Fire Dragon,71701-1
Kai's Fire Dragon,71701-1
Storm Fighter Battle,71703-1
501st Legion Clone Troopers,75280-1
Jungle Raider ,70755-1
Jungle Raider,71700-1
Golden Mech,71702-1
Thunder Raider,70723-1
Builder Mario Power-Up Pack,71373-1
Cole's Speeder Car,71706-1
Cat Mario Power-Up Pack,71372-1
Cat Mario Power-Up Pack,71372-1
Propeller Mario Power-Up Pack,71371-1
Builder Mario Power-Up Pack,71373-1
Fire Mario Power-Up Pack ,71370-1
Storm Fighter Battle,71703-1
Thunder Raider,71699-1
Propeller Mario Power-Up Pack,71371-1
Fire Mario Power-Up Pack ,71370-1
Cole's Speeder Car,71706-1
Thunder Raider,71699-1
TIE Fighter Pilot,75274-1
Sith TIE Fighter,75272-1
Luke Skywalker's Landspeeder,75271-1
Poe Dameron's X-wing Fighter,75273-1
Obi-Wan's Hut,75270-1
TIE Fighter Pilot,75274-1
Poe Dameron's X-wing Fighter,75273-1
Luke Skywalker's Landspeeder,75271-1
Snowspeeder,75268-1
Mandalorian Battle Pack,75267-1
Duel on Mustafar ,75269-1
Snowspeeder,75268-1
T-16 Skyhopper vs Bantha Microfighters,75265-1
T-16 Skyhopper vs Bantha Microfighters,75265-1
Mandalorian Battle Pack,75267-1
Sith Troopers Battle Pack,75266-1
Sith Troopers Battle Pack,75266-1
Resistance Y-wing Microfighter,75263-1
Skull Sorcerer's Dungeons,71722-1
Resistance Y-wing Microfighter,75263-1
Fire Stone Mech,71720-1
Fire Stone Mech,71720-1
Zane's Mino Creature,71719-1
Bowser's Castle Boss Battle,71369-1
Zane's Mino Creature,71719-1
Wu's Battle Dragon,71718-1
Skull Sorcerer's Dungeons,71722-1
Vulture's Trucker Robbery,76147-1
Spider-Man vs. Doc Ock,76148-1
Vulture's Trucker Robbery,76147-1
Spider-Man Mech,76146-1
Spider-Man Mech,76146-1
Avengers Truck Take-down,76143-1
Skull Sorcerer's Dragon,71721-1
Skull Sorcerer's Dragon,71721-1
Avengers Speeder Bike Attack,76142-1
Thanos Mech,76141-1
Thanos Mech,76141-1
Iron Man Mech,76140-1
Spider-Man vs. Doc Ock,76148-1
Attack on The Burrow,75980-1
Duel on Mustafar ,75269-1
Avengers Truck Take-down,76143-1
Avengers Speeder Bike Attack,76142-1
Hogwarts Astronomy Tower,75969-1
Hogwarts Astronomy Tower,75969-1
4 Privet Drive,75968-1
4 Privet Drive,75968-1
Forbidden Forest: Umbridge's Encounter,75967-1
Iron Man Mech,76140-1
Hedwig,75979-1
Velociraptor: Biplane Rescue Mission,75942-1
Velociraptor: Biplane Rescue Mission,75942-1
Hogwarts Room of Requirement,75966-1
Sith TIE Fighter,75272-1
Gallimimus and Pteranodon Breakout,75940-1
Dr. Wu's Lab: Baby Dinosaurs Breakout,75939-1
Dr. Wu's Lab: Baby Dinosaurs Breakout,75939-1
Gallimimus and Pteranodon Breakout,75940-1
Hedwig,75979-1
Brick-built Minions and their Lair,75551-1
Unstoppable Bike Chase,75549-1
Unstoppable Bike Chase,75549-1
Minions Kung Fu Battle,75550-1
Minions Kung Fu Battle,75550-1
{?},75548-1
Indominus rex vs. Ankylosaurus,75941-1
Minion Pilot in Training,75547-1
Minions in Gru's Lab,75546-1
Minions in Gru's Lab,75546-1
The Child,75318-1
Friends Bag Charm,854000-1
Friends Bag Charm,854000-1
Brick-built Minions and their Lair,75551-1
Minnie Mouse Key Chain,853999-1
Mickey Mouse Key Chain,853998-1
The Mandalorian & The Child,75317-1
Minnie Mouse Key Chain,853999-1
Mickey Mouse Key Chain,853998-1
Jay Key Chain,853996-1
Jay Key Chain,853996-1
Crayon Girl Keyring,853995-1
Lloyd Key Chain,853997-1
Lloyd Key Chain,853997-1
2x4 Black Metal Keyring,853992-1
2x4 Bright Blue Keyring,853993-1
Minion Pilot in Training,75547-1
Easter Bunny House,853990-1
Celebration Bag Charm,853989-1
2x4 Black Metal Keyring,853992-1
Customizable Weapon Set,853986-1
Easter Bunny House,853990-1
Customizable Weapon Set,853986-1
NINJAGO Keytana,853985-1
NINJAGO Fork,853984-1
NINJAGO Keytana,853985-1
Celebration Bag Charm,853989-1
Possessed Biker,792005-1
2x4 Bright Blue Keyring,853993-1
El Fuego,792004-1
Dressing Table,562005-1
Hogwarts Room of Requirement,75966-1
Cat at vets,562003-1
Crayon Girl Keyring,853995-1
Nya,892063-1
Cole,892062-1
J.B.,792006-1
Ice Emperor,892061-1
Kai,892059-1
China Flower Girl Keyring,854068-1
Worker,792007-1
Birthday Guy Keyring,854066-1
Birthday Guy Keyring,854066-1
Forbidden Forest: Umbridge's Encounter,75967-1
Captain Marvel Keyring,854064-1
Cute Dog,562004-1
Captain Marvel Keyring,854064-1
Happy Santa Key Chain,854040-1
Happy Santa Key Chain,854040-1
Watermelon Guy Keyring,854039-1
Watermelon Guy Keyring,854039-1
Road Tape,854048-1
Heavy Duty Fire Axe,854035-1
Heavy Duty Fire Axe,854035-1
NINJAGO Crossing Katanas,854034-1
Road Tape,854048-1
Happy Helper Elf Key Chain,854041-1
